Order_ID,Product_Name,Category,City,Supplier,Import_Cost,Selling_Price,Quantity_Sold,Shipment_Delay_Days,Order_Date,Delivery_Date,Profit,Damaged_Goods,Month,Year
ORD00022,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Yiwu Global Trade,318.25,822.82,2,4,2023-08-05,2023-08-09,1009.14,False,8,2023
ORD00023,Kitchen Gadgets,Kitchen Gadgets,Nagpur,Yiwu Global Trade,247.04,543.66,2,2,2024-01-15,2024-01-17,593.24,False,1,2024
ORD00024,Smart Watches,Smart Watches,Mumbai,Shenzhen Traders,1659.71,4576.75,7,2,2024-06-04,2024-06-06,20419.28,False,6,2024
ORD00025,Bluetooth Speakers,Bluetooth Speakers,Aurangabad,Dragon Supply Co,642.99,1278.28,1,11,2024-10-09,2024-10-20,635.29,False,10,2024
ORD00026,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Yiwu Global Trade,346.83,860.42,12,3,2024-11-05,2024-11-08,6163.08,False,11,2024
ORD00027,Kitchen Gadgets,Kitchen Gadgets,Nashik,Yiwu Global Trade,223.74,605.11,1,2,2024-01-14,2024-01-16,381.37,False,1,2024
ORD00028,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Guangzhou Imports,178.42,428.97,10,5,2023-05-15,2023-05-20,2505.5,False,5,2023
ORD00029,Mobile Accessories,Mobile Accessories,Mumbai,Guangzhou Imports,200.33,263.98,1,2,2023-02-02,2023-02-04,63.65,True,2,2023
ORD00030,LED Lights,LED Lights,Mumbai,Dragon Supply Co,237.12,632.87,5,3,2023-04-09,2023-04-12,1978.75,False,4,2023
ORD00031,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,160.41,380.15,16,1,2024-12-26,2024-12-27,3515.84,False,12,2024
ORD00032,Home Decor,Home Decor,Pune,Dragon Supply Co,184.55,429.28,8,8,2024-04-06,2024-04-14,1957.84,True,4,2024
ORD00033,Home Decor,Home Decor,Mumbai,Yiwu Global Trade,257.49,834.47,5,2,2023-01-05,2023-01-07,2884.9,False,1,2023
ORD00034,Mobile Accessories,Mobile Accessories,Nagpur,Guangzhou Imports,103.83,213.57,5,10,2024-01-28,2024-02-07,548.7,False,1,2024
ORD00035,LED Lights,LED Lights,Thane,Dragon Supply Co,385.43,808.6,3,9,2024-07-07,2024-07-16,1269.51,False,7,2024
ORD00036,Kitchen Gadgets,Kitchen Gadgets,Aurangabad,Yiwu Global Trade,360.86,1033.44,2,2,2023-08-29,2023-08-31,1345.16,False,8,2023
ORD00037,Bluetooth Speakers,Bluetooth Speakers,Mumbai,Shenzhen Traders,570.57,1107.5,6,4,2023-04-06,2023-04-10,3221.58,False,4,2023
ORD00038,Bluetooth Speakers,Bluetooth Speakers,Thane,Shenzhen Traders,781.82,1641.57,8,1,2024-10-16,2024-10-17,6878.0,False,10,2024
ORD00039,Home Decor,Home Decor,Mumbai,Dragon Supply Co,158.24,547.4,15,17,2023-02-05,2023-02-22,5837.4,False,2,2023
ORD00040,Kitchen Gadgets,Kitchen Gadgets,Nashik,Yiwu Global Trade,134.86,354.11,4,3,2024-07-31,2024-08-03,877.0,False,7,2024
ORD00041,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Yiwu Global Trade,252.04,722.4,7,3,2024-07-27,2024-07-30,3292.52,False,7,2024
ORD00042,LED Lights,LED Lights,Pune,Shenzhen Traders,405.98,1043.24,3,4,2024-07-09,2024-07-13,1911.78,False,7,2024
ORD00043,LED Lights,LED Lights,Pune,Shenzhen Traders,320.08,807.49,2,3,2023-11-27,2023-11-30,974.82,False,11,2023
ORD00044,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,147.28,403.6,1,2,2023-07-09,2023-07-11,256.32,False,7,2023
ORD00045,Smart Watches,Smart Watches,Mumbai,Shenzhen Traders,1364.33,3343.15,6,2,2024-01-12,2024-01-14,11872.92,False,1,2024
ORD00046,Kitchen Gadgets,Kitchen Gadgets,Pune,Yiwu Global Trade,154.44,372.83,3,2,2024-02-15,2024-02-17,655.17,False,2,2024
ORD00047,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,154.49,395.57,9,2,2024-11-07,2024-11-09,2169.72,False,11,2024
ORD00048,Home Decor,Home Decor,Nashik,Yiwu Global Trade,217.56,742.16,1,2,2024-01-09,2024-01-11,524.6,False,1,2024
ORD00049,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,98.2,252.82,6,3,2024-04-16,2024-04-19,927.72,False,4,2024
ORD00050,Kitchen Gadgets,Kitchen Gadgets,Nashik,Yiwu Global Trade,172.94,461.89,2,2,2024-07-17,2024-07-19,577.9,False,7,2024
ORD00051,Bluetooth Speakers,Bluetooth Speakers,Thane,Shenzhen Traders,815.36,1601.86,5,3,2024-01-21,2024-01-24,3932.5,False,1,2024
ORD00052,Smart Watches,Smart Watches,Mumbai,Shenzhen Traders,1536.79,3856.87,7,3,2023-08-13,2023-08-16,16240.56,False,8,2023
ORD00053,Home Decor,Home Decor,Nagpur,Dragon Supply Co,188.37,291.75,1,10,2024-09-29,2024-10-09,103.38,True,9,2024
ORD00054,Home Decor,Home Decor,Nagpur,Yiwu Global Trade,281.96,833.83,4,2,2024-02-20,2024-02-22,2207.48,False,2,2024
ORD00055,Mobile Accessories,Mobile Accessories,Pune,Guangzhou Imports,232.83,678.6,6,8,2024-03-14,2024-03-22,2674.62,False,3,2024
ORD00056,Smart Watches,Smart Watches,Nashik,Shenzhen Traders,1416.97,3234.86,4,2,2023-10-07,2023-10-09,7271.56,False,10,2023
ORD00057,Bluetooth Speakers,Bluetooth Speakers,Thane,Dragon Supply Co,480.21,967.02,5,4,2024-09-01,2024-09-05,2434.05,False,9,2024
ORD00058,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,205.22,464.84,1,3,2024-08-31,2024-09-03,259.62,False,8,2024
ORD00059,Home Decor,Home Decor,Mumbai,Yiwu Global Trade,271.1,634.52,1,3,2023-07-06,2023-07-09,363.42,False,7,2023
ORD00060,Bluetooth Speakers,Bluetooth Speakers,Mumbai,Dragon Supply Co,855.15,1834.09,6,6,2024-02-07,2024-02-13,5873.64,False,2,2024
ORD00061,Mobile Accessories,Mobile Accessories,Mumbai,Guangzhou Imports,112.83,254.95,2,2,2024-05-25,2024-05-27,284.24,False,5,2024
ORD00062,Smart Watches,Smart Watches,Nagpur,Guangzhou Imports,1109.63,3090.23,4,7,2024-10-01,2024-10-08,7922.4,False,10,2024
ORD00063,LED Lights,LED Lights,Thane,Shenzhen Traders,242.69,626.28,7,2,2024-10-02,2024-10-04,2685.13,False,10,2024
ORD00064,LED Lights,LED Lights,Nagpur,Shenzhen Traders,262.96,732.72,9,5,2024-02-19,2024-02-24,4227.84,False,2,2024
ORD00065,Kitchen Gadgets,Kitchen Gadgets,Pune,Yiwu Global Trade,269.91,628.69,2,1,2024-09-02,2024-09-03,717.56,False,9,2024
ORD00066,LED Lights,LED Lights,Pune,Shenzhen Traders,196.79,524.3,19,4,2023-10-31,2023-11-04,6222.69,False,10,2023
ORD00067,Smart Watches,Smart Watches,Nashik,Shenzhen Traders,995.37,2237.02,10,1,2024-03-28,2024-03-29,12416.5,False,3,2024
ORD00068,Bluetooth Speakers,Bluetooth Speakers,Nagpur,Shenzhen Traders,455.51,1077.49,5,6,2023-04-09,2023-04-15,3109.9,False,4,2023
ORD00069,Home Decor,Home Decor,Nagpur,Yiwu Global Trade,159.22,324.59,11,3,2023-07-27,2023-07-30,1819.07,True,7,2023
ORD00070,Smart Watches,Smart Watches,Pune,Shenzhen Traders,1316.98,3323.75,1,4,2024-09-19,2024-09-23,2006.77,False,9,2024
ORD00071,Bluetooth Speakers,Bluetooth Speakers,Pune,Dragon Supply Co,786.55,2022.91,10,10,2024-02-24,2024-03-05,12363.6,False,2,2024
ORD00072,Home Decor,Home Decor,Mumbai,Yiwu Global Trade,242.69,729.29,5,2,2023-12-04,2023-12-06,2433.0,False,12,2023
ORD00073,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,113.85,208.82,6,3,2023-06-12,2023-06-15,569.82,False,6,2023
ORD00074,Bluetooth Speakers,Bluetooth Speakers,Pune,Dragon Supply Co,837.38,1928.46,2,4,2024-02-02,2024-02-06,2182.16,False,2,2024
ORD00075,Bluetooth Speakers,Bluetooth Speakers,Pune,Shenzhen Traders,431.16,1026.74,5,4,2024-05-18,2024-05-22,2977.9,False,5,2024
ORD00076,LED Lights,LED Lights,Mumbai,Dragon Supply Co,372.99,1005.55,5,13,2023-02-02,2023-02-15,3162.8,False,2,2023
ORD00077,Kitchen Gadgets,Kitchen Gadgets,Thane,Yiwu Global Trade,151.55,336.44,2,3,2024-04-14,2024-04-17,369.78,False,4,2024
ORD00078,Kitchen Gadgets,Kitchen Gadgets,Aurangabad,Guangzhou Imports,351.77,932.68,4,5,2023-10-10,2023-10-15,2323.64,False,10,2023
ORD00079,Kitchen Gadgets,Kitchen Gadgets,Thane,Guangzhou Imports,262.45,763.07,4,5,2023-10-04,2023-10-09,2002.48,False,10,2023
ORD00080,Bluetooth Speakers,Bluetooth Speakers,Mumbai,Shenzhen Traders,485.98,1140.29,2,9,2024-03-28,2024-04-06,1308.62,False,3,2024
ORD00081,Kitchen Gadgets,Kitchen Gadgets,Nagpur,Guangzhou Imports,191.4,415.29,5,5,2024-10-20,2024-10-25,1119.45,False,10,2024
ORD00082,Smart Watches,Smart Watches,Pune,Guangzhou Imports,1271.18,2683.08,10,6,2023-02-15,2023-02-21,14119.0,False,2,2023
ORD00083,Home Decor,Home Decor,Nashik,Yiwu Global Trade,104.77,286.01,6,2,2023-04-09,2023-04-11,1087.44,False,4,2023
ORD00084,Bluetooth Speakers,Bluetooth Speakers,Mumbai,Dragon Supply Co,581.08,1472.1,25,10,2023-10-29,2023-11-08,22275.5,False,10,2023
ORD00085,Home Decor,Home Decor,Thane,Yiwu Global Trade,266.09,501.89,16,2,2023-04-09,2023-04-11,3772.8,True,4,2023
ORD00086,Smart Watches,Smart Watches,Thane,Guangzhou Imports,1631.47,4507.33,2,4,2023-06-10,2023-06-14,5751.72,False,6,2023
ORD00087,Home Decor,Home Decor,Pune,Yiwu Global Trade,152.78,432.57,2,4,2023-05-08,2023-05-12,559.58,False,5,2023
ORD00088,Home Decor,Home Decor,Nashik,Dragon Supply Co,283.32,961.99,5,7,2023-11-19,2023-11-26,3393.35,False,11,2023
ORD00089,Kitchen Gadgets,Kitchen Gadgets,Thane,Yiwu Global Trade,273.89,738.6,4,4,2024-09-17,2024-09-21,1858.84,False,9,2024
ORD00090,Bluetooth Speakers,Bluetooth Speakers,Thane,Dragon Supply Co,449.95,936.85,5,9,2023-04-14,2023-04-23,2434.5,False,4,2023
ORD00091,Bluetooth Speakers,Bluetooth Speakers,Pune,Shenzhen Traders,833.8,1746.63,2,5,2023-09-03,2023-09-08,1825.66,False,9,2023
ORD00092,Bluetooth Speakers,Bluetooth Speakers,Thane,Shenzhen Traders,608.67,1475.61,10,2,2024-02-12,2024-02-14,8669.4,False,2,2024
ORD00093,Smart Watches,Smart Watches,Nashik,Shenzhen Traders,1548.42,3904.19,1,1,2024-05-20,2024-05-21,2355.77,False,5,2024
ORD00094,Mobile Accessories,Mobile Accessories,Thane,Guangzhou Imports,185.63,396.13,3,7,2024-05-26,2024-06-02,631.5,False,5,2024
ORD00095,LED Lights,LED Lights,Pune,Shenzhen Traders,241.5,572.09,12,1,2024-10-15,2024-10-16,3967.08,False,10,2024
ORD00096,Home Decor,Home Decor,Thane,Yiwu Global Trade,127.67,332.5,7,1,2024-12-27,2024-12-28,1433.81,False,12,2024
ORD00097,Smart Watches,Smart Watches,Pune,Guangzhou Imports,1472.27,3034.05,3,0,2023-02-20,2023-02-20,4685.34,False,2,2023
ORD00098,Home Decor,Home Decor,Mumbai,Yiwu Global Trade,267.67,884.75,14,3,2023-11-10,2023-11-13,8639.12,False,11,2023
ORD00099,LED Lights,LED Lights,Pune,Shenzhen Traders,282.81,670.42,1,3,2023-11-01,2023-11-04,387.61,False,11,2023
ORD00100,Smart Watches,Smart Watches,Thane,Shenzhen Traders,1595.68,3326.09,2,6,2024-03-19,2024-03-25,3460.82,False,3,2024
ORD00101,Home Decor,Home Decor,Nashik,Dragon Supply Co,190.16,599.75,6,11,2023-09-21,2023-10-02,2457.54,False,9,2023
ORD00102,Smart Watches,Smart Watches,Pune,Guangzhou Imports,1599.59,3957.35,8,2,2023-07-15,2023-07-17,18862.08,False,7,2023
ORD00103,Mobile Accessories,Mobile Accessories,Mumbai,Guangzhou Imports,156.64,446.53,7,10,2023-12-16,2023-12-26,2029.23,False,12,2023
ORD00104,Home Decor,Home Decor,Pune,Dragon Supply Co,203.69,534.18,14,13,2023-09-26,2023-10-09,4626.86,False,9,2023
ORD00105,Smart Watches,Smart Watches,Pune,Guangzhou Imports,1662.37,4257.24,2,4,2023-04-16,2023-04-20,5189.74,False,4,2023
ORD00106,LED Lights,LED Lights,Mumbai,Shenzhen Traders,352.82,878.02,8,5,2024-08-26,2024-08-31,4201.6,False,8,2024
ORD00107,Home Decor,Home Decor,Nagpur,Dragon Supply Co,202.89,458.85,1,5,2023-12-12,2023-12-17,255.96,True,12,2023
ORD00108,Mobile Accessories,Mobile Accessories,Nashik,Yiwu Global Trade,132.06,345.23,10,4,2023-02-27,2023-03-03,2131.7,False,2,2023
ORD00109,Kitchen Gadgets,Kitchen Gadgets,Pune,Guangzhou Imports,313.94,752.74,4,8,2023-04-06,2023-04-14,1755.2,False,4,2023
ORD00110,Smart Watches,Smart Watches,Mumbai,Guangzhou Imports,788.75,1699.02,3,9,2023-09-29,2023-10-08,2730.81,False,9,2023
ORD00111,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Yiwu Global Trade,312.04,732.94,7,1,2024-12-04,2024-12-05,2946.3,False,12,2024
ORD00112,Kitchen Gadgets,Kitchen Gadgets,Aurangabad,Guangzhou Imports,336.48,796.32,4,11,2023-03-17,2023-03-28,1839.36,False,3,2023
ORD00113,Smart Watches,Smart Watches,Nashik,Shenzhen Traders,795.57,1620.11,6,4,2024-03-10,2024-03-14,4947.24,False,3,2024
ORD00114,Smart Watches,Smart Watches,Nagpur,Shenzhen Traders,1515.71,2209.07,1,5,2023-07-23,2023-07-28,693.36,True,7,2023
ORD00115,Smart Watches,Smart Watches,Pune,Guangzhou Imports,1041.81,2888.31,3,2,2024-04-18,2024-04-20,5539.5,False,4,2024
ORD00116,Bluetooth Speakers,Bluetooth Speakers,Thane,Dragon Supply Co,570.39,1113.32,4,8,2023-12-23,2023-12-31,2171.72,False,12,2023
ORD00117,LED Lights,LED Lights,Mumbai,Shenzhen Traders,315.08,725.89,15,3,2024-06-05,2024-06-08,6162.15,False,6,2024
ORD00118,LED Lights,LED Lights,Nagpur,Dragon Supply Co,369.78,823.01,4,11,2024-10-20,2024-10-31,1812.92,False,10,2024
ORD00119,Bluetooth Speakers,Bluetooth Speakers,Mumbai,Shenzhen Traders,673.69,1482.24,9,5,2023-11-21,2023-11-26,7276.95,False,11,2023
ORD00120,LED Lights,LED Lights,Aurangabad,Shenzhen Traders,229.87,508.25,1,4,2023-09-15,2023-09-19,278.38,False,9,2023
ORD00121,Mobile Accessories,Mobile Accessories,Mumbai,Guangzhou Imports,92.76,167.32,15,0,2023-06-09,2023-06-09,1118.4,False,6,2023
ORD00122,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Guangzhou Imports,180.18,493.02,1,9,2024-01-15,2024-01-24,312.84,False,1,2024
ORD00123,Bluetooth Speakers,Bluetooth Speakers,Nashik,Dragon Supply Co,858.15,2103.74,9,14,2024-11-21,2024-12-05,11210.31,False,11,2024
ORD00124,Home Decor,Home Decor,Pune,Yiwu Global Trade,215.25,654.77,10,3,2023-06-17,2023-06-20,4395.2,False,6,2023
ORD00125,Mobile Accessories,Mobile Accessories,Mumbai,Guangzhou Imports,214.75,565.45,2,4,2024-07-09,2024-07-13,701.4,False,7,2024
ORD00126,Smart Watches,Smart Watches,Mumbai,Guangzhou Imports,1441.98,3691.16,1,2,2023-09-10,2023-09-12,2249.18,False,9,2023
ORD00127,Kitchen Gadgets,Kitchen Gadgets,Pune,Guangzhou Imports,275.49,799.05,2,2,2023-02-04,2023-02-06,1047.12,False,2,2023
ORD00128,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Guangzhou Imports,179.52,485.94,2,10,2024-08-24,2024-09-03,612.84,False,8,2024
ORD00129,Kitchen Gadgets,Kitchen Gadgets,Aurangabad,Yiwu Global Trade,294.79,690.56,2,3,2023-04-25,2023-04-28,791.54,False,4,2023
ORD00130,Mobile Accessories,Mobile Accessories,Pune,Yiwu Global Trade,155.18,339.75,12,2,2024-05-07,2024-05-09,2214.84,False,5,2024
ORD00131,Bluetooth Speakers,Bluetooth Speakers,Aurangabad,Shenzhen Traders,608.51,1330.11,6,2,2024-01-11,2024-01-13,4329.6,False,1,2024
ORD00132,LED Lights,LED Lights,Pune,Shenzhen Traders,346.48,792.82,3,5,2024-01-29,2024-02-03,1339.02,False,1,2024
ORD00133,Kitchen Gadgets,Kitchen Gadgets,Pune,Yiwu Global Trade,201.77,482.42,4,2,2023-07-11,2023-07-13,1122.6,False,7,2023
ORD00134,Bluetooth Speakers,Bluetooth Speakers,Nashik,Dragon Supply Co,648.43,1419.59,2,10,2023-04-06,2023-04-16,1542.32,False,4,2023
ORD00135,Smart Watches,Smart Watches,Nagpur,Guangzhou Imports,1523.99,3296.16,4,8,2023-07-09,2023-07-17,7088.68,False,7,2023
ORD00136,Smart Watches,Smart Watches,Thane,Guangzhou Imports,1207.42,2442.73,8,2,2023-10-06,2023-10-08,9882.48,False,10,2023
ORD00137,Mobile Accessories,Mobile Accessories,Pune,Guangzhou Imports,82.32,195.2,4,0,2023-09-30,2023-09-30,451.52,False,9,2023
ORD00138,LED Lights,LED Lights,Aurangabad,Dragon Supply Co,335.45,722.55,10,8,2024-02-01,2024-02-09,3871.0,False,2,2024
ORD00139,Smart Watches,Smart Watches,Pune,Guangzhou Imports,1204.87,2864.91,1,7,2023-06-26,2023-07-03,1660.04,False,6,2023
ORD00140,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,181.89,517.44,3,2,2024-01-19,2024-01-21,1006.65,False,1,2024
ORD00141,LED Lights,LED Lights,Thane,Dragon Supply Co,385.06,900.99,4,0,2024-05-20,2024-05-20,2063.72,False,5,2024
ORD00142,Smart Watches,Smart Watches,Mumbai,Shenzhen Traders,993.34,2453.1,5,3,2023-01-25,2023-01-28,7298.8,False,1,2023
ORD00143,Bluetooth Speakers,Bluetooth Speakers,Pune,Dragon Supply Co,616.39,1314.58,6,12,2024-04-13,2024-04-25,4189.14,False,4,2024
ORD00144,Bluetooth Speakers,Bluetooth Speakers,Aurangabad,Shenzhen Traders,828.28,2142.38,11,5,2023-04-19,2023-04-24,14455.1,False,4,2023
ORD00145,Bluetooth Speakers,Bluetooth Speakers,Thane,Dragon Supply Co,575.93,1222.54,1,0,2023-07-05,2023-07-05,646.61,False,7,2023
ORD00146,Bluetooth Speakers,Bluetooth Speakers,Aurangabad,Shenzhen Traders,785.82,1851.72,4,7,2023-08-03,2023-08-10,4263.6,False,8,2023
ORD00147,LED Lights,LED Lights,Pune,Shenzhen Traders,321.64,923.01,19,5,2024-10-19,2024-10-24,11426.03,False,10,2024
ORD00148,Bluetooth Speakers,Bluetooth Speakers,Nagpur,Dragon Supply Co,601.31,1446.58,8,11,2023-09-10,2023-09-21,6762.16,False,9,2023
ORD00149,Home Decor,Home Decor,Mumbai,Yiwu Global Trade,269.75,686.39,6,2,2023-06-23,2023-06-25,2499.84,False,6,2023
ORD00150,Bluetooth Speakers,Bluetooth Speakers,Thane,Dragon Supply Co,818.79,2048.24,2,10,2023-06-14,2023-06-24,2458.9,False,6,2023
ORD00151,Smart Watches,Smart Watches,Thane,Guangzhou Imports,691.28,1420.4,2,9,2024-10-09,2024-10-18,1458.24,False,10,2024
ORD00152,Smart Watches,Smart Watches,Nashik,Shenzhen Traders,1149.07,2388.63,10,3,2024-05-25,2024-05-28,12395.6,False,5,2024
ORD00153,LED Lights,LED Lights,Mumbai,Dragon Supply Co,251.87,511.03,10,5,2023-10-28,2023-11-02,2591.6,False,10,2023
ORD00154,LED Lights,LED Lights,Pune,Dragon Supply Co,283.36,635.92,2,7,2024-03-20,2024-03-27,705.12,False,3,2024
ORD00155,Home Decor,Home Decor,Mumbai,Yiwu Global Trade,108.16,360.4,3,2,2023-06-16,2023-06-18,756.72,False,6,2023
ORD00156,Mobile Accessories,Mobile Accessories,Thane,Yiwu Global Trade,104.33,255.15,4,2,2023-08-08,2023-08-10,603.28,False,8,2023
ORD00157,Smart Watches,Smart Watches,Thane,Shenzhen Traders,1185.04,2642.76,1,4,2024-10-21,2024-10-25,1457.72,False,10,2024
ORD00158,LED Lights,LED Lights,Aurangabad,Dragon Supply Co,417.04,958.84,5,4,2023-01-01,2023-01-05,2709.0,False,1,2023
ORD00159,Home Decor,Home Decor,Pune,Dragon Supply Co,159.49,558.09,19,1,2023-12-14,2023-12-15,7573.4,False,12,2023
ORD00160,LED Lights,LED Lights,Pune,Shenzhen Traders,266.15,611.05,14,2,2023-04-27,2023-04-29,4828.6,False,4,2023
ORD00161,LED Lights,LED Lights,Mumbai,Dragon Supply Co,315.82,848.23,22,0,2024-07-09,2024-07-09,11713.02,False,7,2024
ORD00162,LED Lights,LED Lights,Thane,Dragon Supply Co,396.7,1101.14,4,11,2023-03-21,2023-04-01,2817.76,False,3,2023
ORD00163,Smart Watches,Smart Watches,Nagpur,Shenzhen Traders,1364.02,3467.63,12,5,2023-07-22,2023-07-27,25243.32,False,7,2023
ORD00164,Home Decor,Home Decor,Nagpur,Yiwu Global Trade,297.78,905.32,3,1,2024-03-16,2024-03-17,1822.62,False,3,2024
ORD00165,Bluetooth Speakers,Bluetooth Speakers,Nagpur,Dragon Supply Co,752.8,1477.82,1,4,2023-08-21,2023-08-25,725.02,False,8,2023
ORD00166,Home Decor,Home Decor,Mumbai,Dragon Supply Co,120.4,349.31,1,16,2024-04-15,2024-05-01,228.91,False,4,2024
ORD00167,Kitchen Gadgets,Kitchen Gadgets,Thane,Guangzhou Imports,186.81,530.96,13,5,2023-01-12,2023-01-17,4473.95,False,1,2023
ORD00168,Smart Watches,Smart Watches,Thane,Guangzhou Imports,1188.58,2448.76,4,4,2024-02-12,2024-02-16,5040.72,False,2,2024
ORD00169,Mobile Accessories,Mobile Accessories,Aurangabad,Yiwu Global Trade,216.78,501.21,1,1,2023-01-08,2023-01-09,284.43,False,1,2023
ORD00170,LED Lights,LED Lights,Nagpur,Dragon Supply Co,289.15,772.85,5,16,2023-11-12,2023-11-28,2418.5,False,11,2023
ORD00171,Kitchen Gadgets,Kitchen Gadgets,Thane,Guangzhou Imports,364.48,800.95,2,4,2023-02-10,2023-02-14,872.94,False,2,2023
ORD00172,LED Lights,LED Lights,Thane,Dragon Supply Co,233.13,481.0,2,8,2023-07-20,2023-07-28,495.74,False,7,2023
ORD00173,Home Decor,Home Decor,Nagpur,Dragon Supply Co,116.84,184.76,5,5,2024-12-24,2024-12-29,339.6,True,12,2024
ORD00174,Bluetooth Speakers,Bluetooth Speakers,Mumbai,Dragon Supply Co,837.99,1671.76,9,6,2024-06-30,2024-07-06,7503.93,False,6,2024
ORD00175,Home Decor,Home Decor,Nagpur,Dragon Supply Co,257.12,861.62,3,12,2024-08-16,2024-08-28,1813.5,False,8,2024
ORD00176,Bluetooth Speakers,Bluetooth Speakers,Aurangabad,Shenzhen Traders,503.86,1200.8,11,4,2023-01-10,2023-01-14,7666.34,False,1,2023
ORD00177,Bluetooth Speakers,Bluetooth Speakers,Thane,Dragon Supply Co,404.65,963.06,4,7,2023-08-30,2023-09-06,2233.64,False,8,2023
ORD00178,Home Decor,Home Decor,Mumbai,Dragon Supply Co,153.45,530.73,9,3,2024-01-09,2024-01-12,3395.52,False,1,2024
ORD00179,Bluetooth Speakers,Bluetooth Speakers,Nashik,Dragon Supply Co,702.94,1140.59,18,15,2023-08-12,2023-08-27,7877.7,True,8,2023
ORD00180,Smart Watches,Smart Watches,Aurangabad,Shenzhen Traders,1555.02,3365.32,16,2,2023-08-05,2023-08-07,28964.8,False,8,2023
